Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames
27,11018085,"Neural Net Nutheads","2023-11-12 17:31:05",152.722782,44,"hansivarwgsslberg,oskarbrandsaetervik"
28,11199043,"[Deleted] 22abf6f6-d049-438f-a066-9ce9ab87cf01","2023-11-10 14:20:03",152.766935,23,del=794835fba3df128e
29,10953497,"[199] Do not solo the project","2023-11-11 18:32:51",152.791647,65,kemosabe01
30,10953760,"Group 43","2023-11-11 19:25:29",152.813440,107,"ofplarsen,olasther,simeonchristoffersen"
31,10953330,"[003] Linear Regression","2023-11-12 20:43:45",152.827694,141,"ellingsvee,erikmma,matiassunde2"
32,11010166,"[34] I am Kenough","2023-11-11 09:47:32",153.057506,157,"elintoverud2,sindrehaugland,thomasteigland"
33,10953644,"[012] Neural Network Ninjas","2023-11-12 16:51:04",153.231500,175,"marinorfolk,mathiaskarsrudnordal,olarabrahamsen"
34,10953247,"Group 60","2023-11-12 18:24:02",153.235294,99,"espenaakresjo,sivertsandekverme"
35,11011005,Nederlaget,"2023-11-12 19:45:16",153.238849,55,"benjaminstiftkrogh,christoffernetskar,oscarroos"
36,11009858,Kjøh,"2023-11-12 17:30:36",153.308702,87,"henrikaas,martemorgenlieskei,nikolauswieland"
37,10966250,"Forrest Gump","2023-11-12 20:31:40",153.311734,88,"henningdroepping,matsalexander,mikaelsteenbuch"
38,10972109,"Dig Bick Energy Inc.","2023-11-12 17:39:35",153.336506,178,"fabianfossbudal,martinbb,ovebugten"
39,11225202,"Jostein Lorvik","2023-11-11 11:58:35",153.538228,14,josteinlorvik
40,10968288,"Catch [22]","2023-11-12 16:58:08",153.652295,133,"hansmutne,thomaskrogstad1"
41,10954723,"NaN Squad","2023-11-12 14:18:49",153.661287,113,"aslakvengbo,henrikjbs,jorgensandhaug"
42,11142768,"The learning machines","2023-11-11 23:00:50",153.726153,90,"kristineggen,martee"
43,10977100,"[Group 61] Starheim","2023-11-12 20:32:58",153.938720,65,"davidrknott,hansandreaslindgrd,starheim"
44,11004273,"Group 89","2023-11-12 16:49:43",154.037215,108,"annaorlandi,quinten3007"
45,10965817,"Group 69","2023-11-12 20:39:02",154.042728,118,"erikalexandergrieg,gustavlokna,simenfritzer"
46,11011435,"[Group 33] cache me if you can","2023-11-12 13:31:19",154.048597,71,"greveisdahl,nicholasselvik,nicolayhagen"
